Parameter,Value
--- META ---,
Engine Name,H-E2-1A
Run Tag,design
Fuel,Ethanol90
Oxidizer,N2O
Coolant,REFPROP::NitrousOxide
--- OPERATING POINT ---,
Chamber Pressure [bar],25.0
Mixture Ratio,5.0
Mass Flow Total [kg/s],1.0166
--- PERFORMANCE ---,
Thrust Vac [N],2578.9
Thrust Sea [N],2315.8
Isp Vac [s],258.7
Isp Sea [s],232.3
Expansion Ratio,4.1
Exit Diameter [mm],56.05
--- GEOMETRY (Fixed) ---,
Throat Diameter [mm],27.68
Chamber Length [mm],180.9
Contraction Ratio,12.0
--- COOLING SUMMARY ---,
Max Hot Wall Temp [K],1060.0
Max Coolant Temp [K],357.6
Max Heat Flux [MW/m2],19.68
Pressure Drop [bar],6.99
Min Coolant Density [kg/m3],193.2
