Position X [mm],Radius Y [mm],Channel Width [mm],Channel Height [mm],Rib Width [mm],Helix Angle [deg],Mach Number,T_Gas_Recovery [K],h_Gas [W/m2K],T_Wall_Hot [K],T_Wall_Cold [K],T_Coolant [K],P_Coolant [bar],Density_Coolant [kg/m3],Velocity_Coolant [m/s],Quality_Coolant,Heat_Flux [MW/m2]
-133.27951260134608,47.94191393012129,4.835170033167789,0.75,0.6,0.0,0.04974197756561257,3122.392107943468,1229.4625199844475,615.029010173034,512.2720450830057,350.2416878631498,87.16354017351276,197.00067885915018,25.37437597736753,999.0,3.0827089527008487
-132.0212134694693,47.94191393012129,4.835170033167789,0.75,0.6,0.0,0.04974197756561257,3122.392107943468,1229.4625199844475,613.7942920850967,510.98672567467287,349.63820298778313,87.16354017351276,198.3038843992658,25.207621667683394,999.0,3.084226992312714
-130.7629143375925,47.94191393012129,4.835170033167789,0.75,0.6,0.0,0.04974197756561257,3122.392107943468,1229.4625199844475,612.5497065222557,509.691134401751,349.0402587617554,87.19056534420828,199.6237557285596,25.04095404339473,999.0,3.085757163615141
-129.5046152057157,47.94191393012129,4.835170033167789,0.75,0.6,0.0,0.04974197756561257,3122.392107943468,1229.4625199844475,611.2951483437164,508.38516181455657,348.44792048767056,87.21741189793956,200.96056816292742,24.874378784180177,999.0,3.0872995958747946
-128.2463160738389,47.94191393012129,4.835170033167789,0.75,0.6,0.0,0.04974197756561257,3122.392107943468,1229.4625199844475,610.0305177526536,507.06870402638253,347.8612529935913,87.24407993675767,202.31460121824028,24.70790176817963,999.0,3.088854411788132
-126.98801694196212,47.94191393012129,4.835170033167789,0.75,0.6,0.0,0.04974197756561257,3122.392107943468,1229.4625199844475,608.7557208218213,505.7416632606486,347.280320563755,87.2705695690167,203.68613862003076,24.541529075249162,999.0,3.090421726835182
-125.72971781008532,47.94191393012129,4.835170033167789,0.75,0.6,0.0,0.04974197756561257,3122.392107943468,1229.4625199844475,607.4706700448085,504.4039484247486,346.7051868666808,87.2968809095896,205.0754683090992,24.375266990171347,999.0,3.0920016486017965
-124.47141867820852,47.94191393012129,4.835170033167789,0.75,0.6,0.0,0.04974197756561257,3122.392107943468,1229.4625199844475,606.1752849133215,503.0554757109914,346.13591488065543,87.32301408008763,206.4828824427436,24.209122005814905,999.0,3.0935942760699047
-123.21311954633174,47.94191393012129,4.835170033167789,0.75,0.6,0.0,0.04974197756561257,3122.392107943468,1229.4625199844475,604.869492520799,501.6961692249526,345.57256681660647,87.34896920908298,207.90867739131016,24.043100826236348,999.0,3.095199698875392
-121.95482041445494,47.94191393012129,4.835170033167789,0.75,0.6,0.0,0.04974197756561257,3122.392107943468,1229.4625199844475,603.5532281925805,500.3259616414695,345.01520403836116,87.37474643233487,209.35315372973557,23.877210369717556,999.0,3.0968179965333293
-120.69652128257815,47.94191393012129,4.835170033167789,0.75,0.6,0.0,0.04974197756561257,3122.392107943468,1229.4625199844475,602.2264361427654,498.94479488841904,344.46388698030887,87.40034589301884,210.81661622374975,23.71145777173125,999.0,3.0984492376303896
-119.43822215070135,47.94191393012129,4.835170033167789,0.75,0.6,0.0,0.04974197756561257,3122.392107943468,1229.4625199844475,600.8890701577913,497.55262085831066,343.9186750624903,87.4257677419592,212.2993738103893,23.54585038782668,999.0,3.1000934789844177
-118.17992301882457,47.94191393012129,4.835170033167789,0.75,0.6,0.0,0.04974197756561257,3122.392107943468,1229.4625199844475,599.5410943066577,496.1494021476167,343.37962660313764,87.45101213786461,213.80173957245154,23.38039579642789,999.0,3.1017507647712304
-116.92162388694777,47.94191393012129,4.835170033167789,0.75,0.6,0.0,0.04974197756561257,3122.392107943468,1229.4625199844475,598.182483677599,494.7351128236353,342.84679872871044,87.47607924756657,215.32403070651372,23.215101801535702,999.0,3.1034211256189104
-115.66332475507097,47.94191393012129,4.835170033167789,0.75,0.6,0.0,0.04974197756561257,3122.392107943468,1229.4625199844475,596.8132251408756,493.3097392185429,342.32024728146877,87.50096924626095,216.86656848412443,23.04997643532432,999.0,3.105104577669981
-114.40502562319418,47.94191393012129,4.835170033167789,0.75,0.6,0.0,0.04974197756561257,3122.392107943468,1229.4625199844475,595.4333181372232,491.87328075015535,341.8000267246456,87.52568231775217,218.42967820575507,22.88502796062358,999.0,3.1068011216120355
-113.1467264913174,47.94191393012129,4.835170033167789,0.75,0.6,0.0,0.04974197756561257,3122.392107943468,1229.4625199844475,594.0427754911697,490.4257507685764,341.28619004535346,87.55021865470005,220.01368914734022,22.72026487325117,999.0,3.108510741677798
-111.8884273594406,47.94191393012129,4.835170033167789,0.75,0.6,0.0,0.04974197756561257,3122.392107943468,1229.4625199844475,592.641624249607,488.9671774291361,340.77878865480216,87.57457845886924,221.61893449726023,22.555695904361066,999.0,3.110233404614129
-110.6301282275638,47.94191393012129,4.835170033167789,0.75,0.6,0.0,0.04974197756561257,3122.392107943468,1229.4625199844475,591.2299065411868,487.49760458700575,340.27787228742005,87.59876194138108,223.24575128842827,22.3913300222696,999.0,3.1119690586254305
-109.371829095687,47.94191393012129,4.835170033167789,0.75,0.6,0.0,0.04974197756561257,3122.392107943468,1229.4625199844475,589.807680461063,486.0170927182001,339.7834888965304,87.62276932296747,224.89448031671768,22.227176434606026,999.0,3.1137176322858866
-108.11352996381021,47.94191393012129,4.835170033167789,0.75,0.6,0.0,0.04974197756561257,3122.392107943468,1229.4625199844475,588.3750209746842,484.52571986040783,339.29568454884264,87.64660083422702,226.56546605253942,22.063244590018524,999.0,3.11547903342829
-106.85523083193343,47.94191393012129,4.835170033167789,0.75,0.6,0.0,0.04974197756561257,3122.392107943468,1229.4625199844475,586.9320208402308,483.02358257323306,338.81450331740416,87.67025671588301,228.25905654348884,21.899544179603364,999.0,3.1172531480099326
-105.59693170005663,47.94191393012129,4.835170033167789,0.75,0.6,0.0,0.04974197756561257,3122.392107943468,1229.4625199844475,585.4787915506189,481.51079691880375,338.33998717197954,87.69373721904294,229.97560330356882,21.73608513843235,999.0,3.1190398389544542
-104.33863256817983,47.94191393012129,4.835170033167789,0.75,0.6,0.0,0.04974197756561257,3122.392107943468,1229.4625199844475,584.0154642894624,479.98749945691185,337.87217586859487,87.71704260545967,231.71546119391706,21.572877646629575,999.0,3.1208389449765175
