Parameter,Value
--- META ---,
Engine Name,H-E2-1A
Run Tag,hot_case
Fuel,Ethanol90
Oxidizer,N2O
Coolant,REFPROP::NitrousOxide
--- OPERATING POINT ---,
Chamber Pressure [bar],30.0
Mixture Ratio,5.0
Mass Flow Total [kg/s],1.2182
--- PERFORMANCE ---,
Thrust Vac [N],3093.7
Thrust Sea [N],2830.6
Isp Vac [s],259.0
Isp Sea [s],237.0
Expansion Ratio,4.1
Exit Diameter [mm],56.05
--- GEOMETRY (Fixed) ---,
Throat Diameter [mm],27.68
Chamber Length [mm],180.9
Contraction Ratio,12.0
--- COOLING SUMMARY ---,
Max Hot Wall Temp [K],1136.9
Max Coolant Temp [K],350.2
Max Heat Flux [MW/m2],22.05
Pressure Drop [bar],9.82
Min Coolant Density [kg/m3],197.0
