Position X [mm],Radius Y [mm],Channel Width [mm],Channel Height [mm],Rib Width [mm],Helix Angle [deg],Mach Number,T_Gas_Recovery [K],h_Gas [W/m2K],T_Wall_Hot [K],T_Wall_Cold [K],T_Coolant [K],P_Coolant [bar],Density_Coolant [kg/m3],Velocity_Coolant [m/s],Quality_Coolant,Heat_Flux [MW/m2]
-133.73726584434235,48.6013456603827,4.812506203790573,0.75,0.6,0.0,0.04967630395277464,3059.473752244971,1063.2039240409645,604.3945720266262,517.3862447519789,350.5629606558917,83.54025080288079,183.71888794516627,22.172390353012094,999.0,2.6102498182394185
-132.48916866409218,48.6013456603827,4.812506203790573,0.75,0.6,0.0,0.04967630395277464,3059.473752244971,1063.2039240409645,603.1454401836611,516.092843513111,349.91175872637075,83.54025080288079,184.97011817251166,22.022405234895253,999.0,2.611577900116503
-131.241071483842,48.6013456603827,4.812506203790573,0.75,0.6,0.0,0.04967630395277464,3059.473752244971,1063.2039240409645,601.8854772358442,514.7882273136186,349.2662504744569,83.57842982346442,186.2376411755391,21.872521972623307,999.0,2.6129174976667686
-129.99297430359184,48.6013456603827,4.812506203790573,0.75,0.6,0.0,0.04967630395277464,3059.473752244971,1063.2039240409645,600.6145156072571,513.4722226386708,348.6265139578017,83.61634900969145,187.5217437202299,21.722744349150723,999.0,2.6142687890575877
-128.74487712334167,48.6013456603827,4.812506203790573,0.75,0.6,0.0,0.04967630395277464,3059.473752244971,1063.2039240409645,599.3323905541566,512.1446589059848,347.9926271132324,83.65400854579089,188.8227175946824,21.57307632594009,999.0,2.6156319494451554
-127.4967799430915,48.6013456603827,4.812506203790573,0.75,0.6,0.0,0.04967630395277464,3059.473752244971,1063.2039240409645,598.0389406520048,510.80536897011575,347.36466768803314,83.69140862286027,190.14085965475812,21.423522046433426,999.0,2.6170071504566734
-126.24868276284134,48.6013456603827,4.812506203790573,0.75,0.6,0.0,0.04967630395277464,3059.473752244971,1063.2039240409645,596.7340083134939,509.45418965884096,346.7427131679556,83.72854943918101,191.47647186677463,21.274085839516417,999.0,2.6183945596395866
-125.00058558259117,48.6013456603827,4.812506203790573,0.75,0.6,0.0,0.04967630395277464,3059.473752244971,1063.2039240409645,595.4174403386252,508.09096234273403,346.1268407019112,83.76543120053977,192.82986134695543,21.124772222971004,999.0,2.6197943398767336
-123.752488402341,48.6013456603827,4.812506203790573,0.75,0.6,0.0,0.04967630395277464,3059.473752244971,1063.2039240409645,594.0890884978688,506.71553353899105,345.5171270233002,83.80205412055574,194.20134039732673,20.975585906911626,999.0,2.621206648766332
-122.50439122209083,48.6013456603827,4.812506203790573,0.75,0.6,0.0,0.04967630395277464,3059.473752244971,1063.2039240409645,592.7488101493855,505.32775555052723,344.9136483679431,83.83841842101401,195.59122653774008,20.8265317971996,999.0,2.622631637965747
