Parameter,Value
--- META ---,
Engine Name,HOPPER E1-1A
Run Tag,hot_case
Fuel,Ethanol90
Oxidizer,N2O
Coolant,REFPROP::NitrousOxide
--- OPERATING POINT ---,
Chamber Pressure [bar],30.0
Mixture Ratio,5.0
Mass Flow Total [kg/s],1.2652
--- PERFORMANCE ---,
Thrust Vac [N],3213.2
Thrust Sea [N],2940.0
Isp Vac [s],259.0
Isp Sea [s],237.0
Expansion Ratio,4.1
Exit Diameter [mm],56.82
--- GEOMETRY (Fixed) ---,
Throat Diameter [mm],28.06
Chamber Length [mm],176.7
Contraction Ratio,12.0
--- COOLING SUMMARY ---,
Max Hot Wall Temp [K],1138.5
Max Coolant Temp [K],337.4
Max Heat Flux [MW/m2],22.17
Pressure Drop [bar],21.04
Min Coolant Density [kg/m3],180.0
