Position X [mm],Radius Y [mm],Channel Width [mm],Channel Height [mm],Rib Width [mm],Helix Angle [deg],Mach Number,T_Gas_Recovery [K],h_Gas [W/m2K],T_Wall_Hot [K],T_Wall_Cold [K],T_Coolant [K],P_Coolant [bar],Density_Coolant [kg/m3],Velocity_Coolant [m/s],Quality_Coolant,Heat_Flux [MW/m2]
-133.73726584434235,48.6013456603827,4.812506203790573,0.75,0.6,0.0,0.049044704816465376,1991.031530189233,721.967214911025,465.66080822942286,428.9518865014181,337.8864833181651,93.92459831114932,266.1266689987012,7.863188567552354,999.0,1.1012676518401439
-132.48916866409218,48.6013456603827,4.812506203790573,0.75,0.6,0.0,0.049044704816465376,1991.031530189233,721.967214911025,464.70700446894614,427.9751289061239,337.55242022842276,93.92459831114932,267.84115752591055,7.812855203140097,999.0,1.101956266884667
-131.241071483842,48.6013456603827,4.812506203790573,0.75,0.6,0.0,0.049044704816465376,1991.031530189233,721.967214911025,463.7522791926702,426.99742761822404,337.2227942925261,93.93156334490743,269.5748261886017,7.762609776208611,999.0,1.102645547233385
-129.99297430359184,48.6013456603827,4.812506203790573,0.75,0.6,0.0,0.049044704816465376,1991.031530189233,721.967214911025,462.796833998818,426.0189890875183,336.89760419862444,93.93848361350264,271.32787757801543,7.7124554980152595,999.0,1.1033353473389904
-128.74487712334167,48.6013456603827,4.812506203790573,0.75,0.6,0.0,0.049044704816465376,1991.031530189233,721.967214911025,461.8408800595871,425.0400295681844,336.5768469360698,93.94535919850391,273.1005138539976,7.662395620061355,999.0,1.10402551474208
-127.4967799430915,48.6013456603827,4.812506203790573,0.75,0.6,0.0,0.049044704816465376,1991.031530189233,721.967214911025,460.88463824863925,424.0607752493355,336.26051775971814,93.95219018437784,274.89293660764787,7.612433433231976,999.0,1.1047158899791116
-126.24868276284134,48.6013456603827,4.812506203790573,0.75,0.6,0.0,0.049044704816465376,1991.031530189233,721.967214911025,459.9283392533713,423.081462369993,335.94861015539584,93.95897665852392,276.7053467193258,7.56257226685972,999.0,1.1054063065013475
-125.00058558259117,48.6013456603827,4.812506203790573,0.75,0.6,0.0,0.049044704816465376,1991.031530189233,721.967214911025,458.9722237460617,422.1023373943519,335.64111589266605,93.96571871130871,278.5379445454176,7.51281547871896,999.0,1.1060965905512932
-123.752488402341,48.6013456603827,4.812506203790573,0.75,0.6,0.0,0.049044704816465376,1991.031530189233,721.967214911025,458.0165421576034,421.12365678006825,335.3380246451536,93.97241643609118,280.39092842046546,7.463166490370091,999.0,1.1067865613260541
-122.50439122209083,48.6013456603827,4.812506203790573,0.75,0.6,0.0,0.049044704816465376,1991.031530189233,721.967214911025,457.06155519393997,420.14568750712374,335.0393244876816,93.97906992927965,282.26449654185006,7.41362873060132,999.0,1.1074760306044866
-121.25629404184066,48.6013456603827,4.812506203790573,0.75,0.6,0.0,0.049044704816465376,1991.031530189233,721.967214911025,456.1075335654766,419.16870680072486,334.7450015122094,93.98567929033814,284.15884543647104,7.364205671574693,999.0,1.108164802942553
-120.00819686159049,48.6013456603827,4.812506203790573,0.75,0.6,0.0,0.049044704816465376,1991.031530189233,721.967214911025,455.15475807838703,418.19300222480695,334.4550398908221,93.99224462182512,286.0741701434814,7.314900818000536,999.0,1.1088526756074026
-118.76009968134032,48.6013456603827,4.812506203790573,0.75,0.6,0.0,0.049044704816465376,1991.031530189233,721.967214911025,454.20351962417584,417.21887167134565,334.169421850849,93.99876602942248,288.0106640463004,7.265717705699158,999.0,1.1095394385849058
-117.51200250109015,48.6013456603827,4.812506203790573,0.75,0.6,0.0,0.049044704816465376,1991.031530189233,721.967214911025,453.2541191430587,416.2466233228556,333.8881276520661,94.0052436219633,289.9685187008015,7.216659900072085,999.0,1.1102248746060932
-116.26390532083998,48.6013456603827,4.812506203790573,0.75,0.6,0.0,0.049044704816465376,1991.031530189233,721.967214911025,452.30686756066973,415.2765755875747,333.6111355673992,94.01167751145822,291.9479236649865,7.167730994355908,999.0,1.1109087591928504
-115.01580814058983,48.6013456603827,4.812506203790573,0.75,0.6,0.0,0.049044704816465376,1991.031530189233,721.967214911025,451.36208569081975,414.3090569998823,333.33842186178316,94.01806781312024,293.9490663084713,7.11893460819974,999.0,1.1115908607281244
-113.76771096033966,48.6013456603827,4.812506203790573,0.75,0.6,0.0,0.049044704816465376,1991.031530189233,721.967214911025,450.42010411050376,413.3444060922983,333.06996077757003,94.02441464538836,295.9721316348011,7.070274385743294,999.0,1.1122709405461628
-112.51961378008949,48.6013456603827,4.812506203790573,0.75,0.6,0.0,0.049044704816465376,1991.031530189233,721.967214911025,449.4812630019641,412.38297123374616,332.8057245229988,94.03071812994942,298.01730210265276,7.021753993567039,999.0,1.1129487530465392
-111.27151659983932,48.6013456603827,4.812506203790573,0.75,0.6,0.0,0.049044704816465376,1991.031530189233,721.967214911025,448.5459119568476,411.42511042899605,332.54568326101844,94.03697839175804,300.08475743464976,6.973377118786477,999.0,1.113624045835546
-110.02341941958915,48.6013456603827,4.812506203790573,0.75,0.6,0.0,0.049044704816465376,1991.031530189233,721.967214911025,447.6144097439453,410.471191080816,332.2898051020012,94.04319555905506,302.17467442766525,6.925147466957246,999.0,1.1142965598938783
