Throttle Setting [%],Thrust Vac [N],Thrust SL [N],Chamber Pressure [bar],Mixture Ratio (O/F),Mass Flow [kg/s],Isp SL [s],Combustion Temp [K],Max Wall Temp [K],Max Coolant Temp [K],Coolant dP [bar],Exit Mach
100.0,2720.1,2446.8,25.69,4.0,1.0763,231.8,0.0,1058.2,349.2,14.17,2.57
93.9,2570.1,2296.8,24.34,3.76,1.0237,228.8,0.0,1027.3,351.2,12.46,2.58
87.8,2416.6,2143.3,22.94,3.51,0.9711,225.1,0.0,991.3,352.4,10.82,2.6
81.7,2260.2,1986.9,21.48,3.27,0.9184,220.6,0.0,950.2,352.5,9.26,2.62
75.6,2101.3,1828.1,20.0,3.02,0.8658,215.3,0.0,904.2,351.5,7.81,2.65
69.4,1940.0,1666.8,18.48,2.78,0.8132,209.0,0.0,854.0,349.6,6.47,2.67
63.3,1776.2,1503.0,16.93,2.53,0.7606,201.5,0.0,800.2,346.7,5.26,2.69
57.2,1609.6,1336.4,15.36,2.29,0.708,192.5,0.0,743.2,343.1,4.18,2.71
51.1,1439.7,1166.5,13.75,2.04,0.6553,181.5,0.0,683.1,338.7,3.23,2.73
45.0,1266.7,993.4,12.09,1.8,0.6027,168.1,0.0,619.8,334.0,2.41,2.75
