Parameter,Value
--- META ---,
Engine Name,HOPPER E1-1A
Run Tag,design_point
Fuel,Ethanol90
Oxidizer,N2O
Coolant,REFPROP::NitrousOxide
--- OPERATING POINT ---,
Chamber Pressure [bar],25
Mixture Ratio,4.0
Mass Flow Total [kg/s],1.0657
--- PERFORMANCE ---,
Thrust Vac [N],2858.2
Thrust Sea [N],2315.8
Isp Vac [s],273.5
Isp Sea [s],221.6
Expansion Ratio,8.0
Exit Diameter [mm],80.48
--- GEOMETRY (Fixed) ---,
Throat Diameter [mm],28.45
Chamber Length [mm],208.1
Contraction Ratio,12
--- COOLING SUMMARY ---,
Max Hot Wall Temp [K],1039.1
Max Coolant Temp [K],361.1
Max Heat Flux [MW/m2],19.14
Pressure Drop [bar],7.32
Min Coolant Density [kg/m3],189.5
